date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:36	115/115	---M-Z	200	added ('OK')	text/plain	date:Thu,%2003%20Apr%202025%2002:27:45%20GMT	https://centrodecancerhn.org/robots.txt		(from )
20:27:39	142630/142630	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Apr%202025%2002:27:47%20GMT	https://centrodecancerhn.org/	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/index.html	(from )
20:27:40	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%2267e1e2ac-1c012%22	https://centrodecancerhn.org/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://centrodecancerhn.org/)
20:27:40	41462/41462	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f5fb1c42096b4e2de73de0447fc45eba-gzip%22	https://centrodecancerhn.org/feed/	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/feed/index.html	(from https://centrodecancerhn.org/)
20:27:40	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%2267e1e29c-157d%22	https://centrodecancerhn.org/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/wp-content/themes/hello-elementor/style.min9b70.css	(from https://centrodecancerhn.org/)
20:27:41	5069/5069	---MCZ	200	added ('OK')	text/css	etag:W/%2267e1e29c-13cd%22	https://centrodecancerhn.org/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/wp-content/themes/hello-elementor/theme.min9b70.css	(from https://centrodecancerhn.org/)
20:27:41	756/756	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f5fb1c42096b4e2de73de0447fc45eba-gzip%22	https://centrodecancerhn.org/comments/feed/	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/comments/feed/index.html	(from https://centrodecancerhn.org/)
20:27:41	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%2267e1e29c-1c2c%22	https://centrodecancerhn.org/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/wp-content/themes/hello-elementor/header-footer.min9b70.css	(from https://centrodecancerhn.org/)
20:27:41	19323/19323	---MCZ	200	added ('OK')	text/css	etag:W/%2263c74b80-4b7b%22	https://centrodecancerhn.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.17.0	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine127.css	(from https://centrodecancerhn.org/)
20:27:41	9935/9935	---MCZ	200	added ('OK')	text/css	etag:W/%2263c74b80-26cf%22	https://centrodecancerhn.org/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.10.1	C:/Users/Jared%20Garcia/Desktop/emma-site/emma-site/centrodecancerhn.org/wp-content/plugins/elementor/assets/css/frontend-legacy.min2f56.css	(from https://centrodecancerhn.org/)
